#x y co10 co21 13co10 13co21 c18o21 1.45GHz b3 b6 halpha ssc_density
151.01075 -6.4714199 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.05
151.01075 -6.4706982 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
151.01075 -6.4699765 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
151.01075 -6.4692549 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
151.01075 -6.4685332 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
151.01075 -6.4678115 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
151.01075 -6.4670898 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
151.01034 -6.4829669 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
151.01034 -6.4822452 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.59
151.01034 -6.4815235 41.597 123.875 0.0 9.613 0.0 0.0 0.0 0.0 7.6873e-16 64.27
151.01034 -6.4808019 38.413 137.222 0.0 9.014 0.0 0.0 0.0 0.004769 1.98209e-15 131.28
151.01034 -6.4800802 45.107 153.739 0.0 9.174 0.0 0.0 0.0 0.0 2.17338e-15 100.92
151.01034 -6.4793585 68.302 175.551 0.0 0.0 0.0 0.0 0.0 0.0 2.6393e-15 32.19
151.01034 -6.4786368 38.085 87.03 0.0 0.0 0.0 0.0 0.0 0.0 4.1273e-16 2.59
151.01034 -6.4779151 23.589 60.43 0.0 0.0 0.0 0.0 0.0 0.0 2.2321e-16 2.63
151.01034 -6.4771934 19.812 50.987 0.0 0.0 0.0 0.0 0.0 0.0 2.2075e-16 33.59
151.01034 -6.4764717 39.891 115.302 0.0 0.0 0.0 0.0 0.0 0.0 2.6409e-16 88.89
151.01034 -6.47575 91.241 271.563 0.0 0.0 0.0 0.0 0.0 0.004058 3.511e-16 84.7
151.01034 -6.4750284 173.984 515.507 0.0 19.03 0.0 0.0 0.004043 0.0 6.6935e-16 174.34
151.01034 -6.4743067 88.757 248.918 0.0 12.239 0.0 0.0 0.0 0.0 7.3413e-16 135.53
151.01034 -6.473585 29.49 111.752 0.0 5.275 0.0 0.0 0.0 0.0 1.10177e-15 155.5
151.01034 -6.4728633 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 7.228e-16 56.65
151.01034 -6.4721416 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.3391e-16 21.82
151.01034 -6.4714199 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.4885e-16 5.13
151.01034 -6.4706982 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.18
151.01034 -6.4699765 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
151.01034 -6.4692549 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
