# distance(pc) r21 co21(Jy/b.km/s) co21snr co21(Jy/b.km/s) co10snr peak(Jy/b) disp(km/s) w1(Jy/b) w2(Jy/b) w3(Jy/b), r21mask
6452 0 0 0 0 0 0 0 0 0 0 0
6513 0 0 0 0 0 0 0 0 0 0 0
6576 0 0 0 0 0 0 0 0 0 0 0
6641 0 0 0 0 0 0 0 0 0 0 0
6708 0 0 0 0 0 0 0 0 0 0 0
6777 0 0 0 0 0 0 0 0 0 0 0
6848 0 0 0 0 0 0 0 0 0 0 0
6921 0 0 0 0 0 0 0 0 0 0 0
6995 0 0 0 0 0 0 0 0 0 0 0
7071 0 0 0 0 0 0 0 0 0 0 0
7149 0 0 0 0 0 0 0 0 0 0 0
7229 0 0 0 0 0 0 0 0 0 0 0
7310 0 0 0 0 0 0 0 0 0 0 0
7393 0 0 0 0 0 0 0 0 0 0 0
7477 0 0 0 0 0 0 0 0 0 0 0
7562 0 0 0 0 0 0 0 0 0 0 0
7649 0 0 0 0 0 0 0 0 0 0 0
7737 0 0 0 0 0 0 0 0 0 0 0
7827 0 0 0 0 0 0 0 0 0 0 0
7917 0 0 0 0 0 0 0 0 0 0 0
8009 0 0 0 0 0 0 0 0 0 0 0
8102 0 0 0 0 0 0 0 0 0 0 0
8197 0 0 0 0 0 0 0 0 0 0 0
8292 0 0 0 0 0 0 0 0 0 0 0
8388 0 0 0 0 0 0 0 0 0 0 0
8359 0 0 0 0 0 0 0 0 0 0 0
8261 0 0 0 0 0 0 0 0 0 0 0
8164 0 0 0 0 0 0 0 0 0 0 0
8068 0 0 0 0 0 0 0 0 0 0 0
7973 0 0 0 0 0 0 0 0 0 0 0
7879 0 0 0 0 0 0 0 0 0 0 0
7786 0 0 0 0 0 0 0 0 0 0 0
7695 0 0 0 0 0 0 0 0 0 0 0
7605 0 0 0 0 0 0 0 0 0 0 0
7516 0 0 0 0 0 0 0 0 0 0 0
7428 0 0 0 0 0 0 0 0 0 0 0
7342 0 0 0 0 0 0 0 0 0 0 0
7257 0 0 0 0 0 0 0 0 0 0 0
7174 0 0 0 0 0 0 0 0 0 0 0
7092 0 0 0 0 0 0 0 0 0 0 0
7012 0 0 0 0 0 0 0 0 0 0 0
6933 0 0 0 0 0 0 0 0 0 0 0
6856 0 0 0 0 0 0 0 0 0 0 0
6781 0 0 0 0 0 0 0 0 0 0 0
6708 0 0 0 0 0 0 0 0 0 0 0
6636 0 0 0 0 0 0 0 0 0 0 0
6567 0 0 0 0 0 0 0 0 0 0 0
6499 0 0 0 0 0 0 0 0 0 0 0
6433 0 0 0 0 0 0 0 0 0 0 0
6370 0 0 0 0 0 0 0 0 0 0 0
6309 0 4 9 0 0 0 4 0 0 0 0
6250 0 7 12 0 0 0 5 0 0 0 0
6193 0 7 12 0 0 0 5 0 0 0 0
6139 0 6 11 0 0 0 5 0 0 0 0
6087 0 5 9 0 0 0 5 0 0 0 0
6038 0 4 7 0 0 0 5 0 0 0 0
5991 0 2 5 0 0 0 4 0 0 0 0
5947 0 1 3 0 0 0 2 0 0 0 0
5905 0 1 3 0 0 0 2 0 0 0 0
5867 0 1 3 0 0 0 2 0 0 0 0
5831 0 1 3 0 0 0 2 0 0 0 0
5798 0 0 0 0 0 0 0 0 0 0 0
5767 0 0 0 0 0 0 0 0 0 0 0
5740 0 0 0 0 0 0 0 0 0 0 0
5716 0 0 0 0 0 0 0 0 0 0 0
5695 0 0 0 0 0 0 0 0 0 0 0
5676 0 1 3 0 0 0 2 0 0 0 0
5661 0 2 5 0 0 0 4 0 0 0 0
5649 0 2 5 0 0 0 4 0 0 0 0
5640 0 2 4 0 0 0 4 0 0 0 0
5635 0 0 2 0 0 0 2 0 0 0 0
5632 0 0 2 0 0 0 2 0 0 0 0
5633 0 1 3 0 0 0 2 0 0 0 0
5636 0 1 3 0 0 0 2 0 0 0 0
5643 0 0 0 0 0 0 0 0 0 0 0
5653 0 0 0 0 0 0 0 0 0 0 0
5666 0 0 0 0 0 0 0 0 0 0 0
5683 0 0 0 0 0 0 0 0 0 0 0
5702 0 0 0 0 0 0 0 0 0 0 0
5724 0 0 0 0 0 0 0 0 0 0 0
5749 0 0 0 0 0 0 0 0 0 0 0
5778 0 0 0 0 0 0 0 0 0 0 0
5809 0 0 0 0 0 0 0 0 0 0 0
5843 0 0 0 0 0 0 0 0 0 0 0
5880 0 0 0 0 0 0 0 0 0 0 0
5920 0 0 0 0 0 0 0 0 0 0 0
5962 0 0 0 0 0 0 0 0 0 0 0
6007 0 0 0 0 0 0 0 0 0 0 0
6055 0 0 0 0 0 0 0 0 0 0 0
6105 0 0 0 0 0 0 0 0 0 0 0
6158 0 0 0 0 0 0 0 0 0 0 0
6213 0 0 0 0 0 0 0 0 0 0 0
6270 0 0 0 0 0 0 0 0 0 0 0
6330 0 0 0 0 0 0 0 0 0 0 0
6392 0 0 0 0 0 0 0 0 0 0 0
6456 0 0 0 0 0 0 0 0 0 0 0
6522 0 0 0 0 0 0 0 0 0 0 0
6591 0 0 0 0 0 0 0 0 0 0 0
6661 0 0 0 0 0 0 0 0 0 0 0
6733 0 0 0 0 0 0 0 0 0 0 0
6807 0 0 0 0 0 0 0 0 0 0 0
